temperature;devrate;;;interact
13.5042;0.0408;pupa;;gilbert
13.8817;0.0372;pupa;;gilbert
14.269;0.0403;pupa;;gilbert
15.5236;0.0477;pupa;;gilbert
15.5285;0.0511;pupa;;gilbert
15.0109;0.0571;pupa;;gilbert
15.8807;0.0631;pupa;;gilbert
17.1243;0.0628;pupa;;gilbert
16.6979;0.0658;pupa;;gilbert
17.7584;0.0713;pupa;;gilbert
18.9576;0.0734;pupa;;gilbert
18.7226;0.0763;pupa;;gilbert
19.2048;0.0789;pupa;;gilbert
18.9458;0.0985;pupa;;gilbert
20.2785;0.0936;pupa;;gilbert
21.1861;0.0926;pupa;;gilbert
22.093;0.1244;pupa;;gilbert
23.7839;0.1357;pupa;;gilbert
25.0843;0.1416;pupa;;gilbert
25.707;0.1421;pupa;;gilbert
25.854;0.1445;pupa;;gilbert
25.1439;0.1498;pupa;;gilbert
25.8169;0.152;pupa;;gilbert
25.821;0.1549;pupa;;gilbert
25.1158;0.1636;pupa;;gilbert
25.9316;0.1653;pupa;;gilbert
26.7273;0.1529;pupa;;gilbert
26.78;0.1563;pupa;;gilbert
27.7778;0.1514;pupa;;gilbert
27.9365;0.162;pupa;;gilbert
30.7709;0.17;pupa;;gilbert
31.6427;0.1773;pupa;;gilbert
14;0.0661;larva;parasitized;jones
14;0.0907;larva;parasitized;jones
14;0.0459;larva;parasitized;jones
18;0.1308;larva;parasitized;jones
18;0.1554;larva;parasitized;jones
18;0.1063;larva;parasitized;jones
20;0.1717;larva;parasitized;jones
20;0.195;larva;parasitized;jones
20;0.1524;larva;parasitized;jones
28;0.2907;larva;parasitized;jones
28;0.3183;larva;parasitized;jones
28;0.2656;larva;parasitized;jones
15;0.1256;larva;no_parasit;jones
15;0.1569;larva;no_parasit;jones
15;0.0967;larva;no_parasit;jones
20;0.2601;larva;no_parasit;jones
20;0.284;larva;no_parasit;jones
20;0.2356;larva;no_parasit;jones
28;0.4944;larva;no_parasit;jones
28;0.5214;larva;no_parasit;jones
28;0.4681;larva;no_parasit;jones
14.5947;0.0222;larva;;gilbert
16.1654;0.032;larva;;gilbert
17.4251;0.042;larva;;gilbert
17.5845;0.0446;larva;;gilbert
19.0457;0.046;larva;;gilbert
20.7106;0.0537;larva;;gilbert
20.755;0.0574;larva;;gilbert
25.5834;0.0865;larva;;gilbert
7.9342;0.0056;larvae;;samson
12.526;0.0178;larvae;;samson
13.2501;0.0206;larvae;;samson
19.2699;0.0449;larvae;;samson
19.7685;0.0491;larvae;;samson
19.9731;0.0526;larvae;;samson
25.8128;0.079;larvae;;samson
25.7926;0.0859;larvae;;samson
25.8392;0.09;larvae;;samson
29.939;0.1169;larvae;;samson
30.3239;0.1191;larvae;;samson
32.0408;0.1172;larvae;;samson
36.8065;0.1095;larvae;;samson
